Simulation number;Hands Played;Minimum Bet;Payout;House Edge (%);Number of Mistakes
1;100;5;-100;20.0;17
2;100;5;-30;6.0;14
3;100;5;-260;52.0;17
4;100;5;35;-7.0;13
5;100;5;-25;5.0;16
6;100;5;40;-8.0;8
7;100;5;-220;44.0;21
8;100;5;-280;56.0;15
9;100;5;-5;1.0;8
10;100;5;50;-10.0;14
11;100;5;-120;24.0;9
12;100;5;-245;49.0;16
13;100;5;-245;49.0;19
14;100;5;-155;31.0;7
15;100;5;0;-0.0;19
16;100;5;-165;33.0;19
17;100;5;-35;7.0;7
18;100;5;75;-15.0;14
19;100;5;25;-5.0;11
20;100;5;-205;41.0;21
21;100;5;-70;14.0;7
22;100;5;25;-5.0;13
23;100;5;-220;44.0;13
24;100;5;-5;1.0;17
25;100;5;-130;26.0;12
26;100;5;-185;37.0;13
27;100;5;140;-28.0;12
28;100;5;-110;22.0;15
29;100;5;-120;24.0;10
30;100;5;70;-14.0;10
31;100;5;10;-2.0;16
32;100;5;100;-20.0;16
33;100;5;-10;2.0;17
34;100;5;-15;3.0;11
35;100;5;-55;11.0;13
36;100;5;-90;18.0;7
37;100;5;-135;27.0;11
38;100;5;-5;1.0;17
39;100;5;-60;12.0;8
40;100;5;105;-21.0;13
41;100;5;-50;10.0;14
42;100;5;20;-4.0;19
43;100;5;-155;31.0;10
44;100;5;-110;22.0;16
45;100;5;-240;48.0;10
46;100;5;-25;5.0;20
47;100;5;-70;14.0;15
48;100;5;205;-41.0;6
49;100;5;-20;4.0;15
50;100;5;-230;46.0;13
51;100;5;100;-20.0;14
52;100;5;-35;7.0;13
53;100;5;70;-14.0;13
54;100;5;75;-15.0;7
55;100;5;170;-34.0;18
56;100;5;175;-35.0;17
57;100;5;-295;59.0;15
58;100;5;-80;16.0;12
59;100;5;-10;2.0;21
60;100;5;35;-7.0;16
61;100;5;10;-2.0;13
62;100;5;-140;28.0;17
63;100;5;-135;27.0;15
64;100;5;165;-33.0;19
65;100;5;-165;33.0;12
66;100;5;-5;1.0;10
67;100;5;60;-12.0;11
68;100;5;70;-14.0;16
69;100;5;-190;38.0;10
70;100;5;-25;5.0;16
71;100;5;30;-6.0;9
72;100;5;-125;25.0;11
73;100;5;-205;41.0;13
74;100;5;95;-19.0;15
75;100;5;-80;16.0;11
76;100;5;210;-42.0;20
77;100;5;-110;22.0;15
78;100;5;-185;37.0;12
79;100;5;-40;8.0;9
80;100;5;-255;51.0;8
81;100;5;35;-7.0;16
82;100;5;-215;43.0;16
83;100;5;30;-6.0;12
84;100;5;115;-23.0;9
85;100;5;-5;1.0;18
86;100;5;0;-0.0;10
87;100;5;75;-15.0;19
88;100;5;-55;11.0;17
89;100;5;90;-18.0;13
90;100;5;-235;47.0;11
91;100;5;15;-3.0;14
92;100;5;-75;15.0;8
93;100;5;-160;32.0;8
94;100;5;-185;37.0;15
95;100;5;-200;40.0;16
96;100;5;-40;8.0;15
97;100;5;0;-0.0;11
98;100;5;-100;20.0;14
99;100;5;-65;13.0;11
100;100;5;-200;40.0;13
101;100;5;-150;30.0;7
102;100;5;-115;23.0;12
103;100;5;-75;15.0;11
104;100;5;-110;22.0;17
105;100;5;-170;34.0;9
106;100;5;-100;20.0;10
107;100;5;80;-16.0;20
108;100;5;60;-12.0;9
109;100;5;-75;15.0;14
110;100;5;65;-13.0;12
111;100;5;40;-8.0;16
112;100;5;-5;1.0;13
113;100;5;-90;18.0;9
114;100;5;-130;26.0;13
115;100;5;35;-7.0;16
116;100;5;40;-8.0;11
117;100;5;65;-13.0;14
118;100;5;60;-12.0;16
119;100;5;235;-47.0;18
120;100;5;-35;7.0;12
121;100;5;120;-24.0;18
122;100;5;-165;33.0;19
123;100;5;-155;31.0;18
124;100;5;-75;15.0;17
125;100;5;25;-5.0;12
126;100;5;30;-6.0;9
127;100;5;-120;24.0;14
128;100;5;270;-54.0;18
129;100;5;10;-2.0;17
130;100;5;-180;36.0;15
131;100;5;-35;7.0;13
132;100;5;-50;10.0;12
133;100;5;-165;33.0;15
134;100;5;25;-5.0;21
135;100;5;-165;33.0;18
136;100;5;-80;16.0;14
137;100;5;-55;11.0;13
138;100;5;5;-1.0;16
139;100;5;-75;15.0;7
140;100;5;-100;20.0;16
141;100;5;125;-25.0;16
142;100;5;95;-19.0;13
143;100;5;25;-5.0;13
144;100;5;-225;45.0;15
145;100;5;-105;21.0;12
146;100;5;115;-23.0;9
147;100;5;65;-13.0;14
148;100;5;85;-17.0;17
149;100;5;110;-22.0;13
150;100;5;-215;43.0;15
151;100;5;20;-4.0;13
152;100;5;-30;6.0;12
153;100;5;-10;2.0;8
154;100;5;140;-28.0;18
155;100;5;30;-6.0;12
156;100;5;5;-1.0;11
157;100;5;-125;25.0;19
158;100;5;110;-22.0;19
159;100;5;15;-3.0;17
160;100;5;30;-6.0;15
161;100;5;-25;5.0;14
162;100;5;-110;22.0;15
163;100;5;100;-20.0;9
164;100;5;145;-29.0;15
165;100;5;-160;32.0;13
166;100;5;-65;13.0;18
167;100;5;-115;23.0;13
168;100;5;100;-20.0;10
169;100;5;-215;43.0;12
170;100;5;170;-34.0;10
171;100;5;-90;18.0;13
172;100;5;-20;4.0;11
173;100;5;115;-23.0;16
174;100;5;-35;7.0;16
175;100;5;-310;62.0;13
176;100;5;-130;26.0;13
177;100;5;0;-0.0;13
178;100;5;60;-12.0;17
179;100;5;70;-14.0;12
180;100;5;45;-9.0;18
