Simulation number;Hands Played;Minimum Bet;Payout;House Edge (%);Number of Mistakes
1;100;5;-95;-19.0;1
2;100;5;-220;-44.0;1
3;100;5;-150;-30.0;2
4;100;5;-20;-4.0;1
5;100;5;-215;-43.0;0
6;100;5;-155;-31.0;1
7;100;5;-125;-25.0;0
8;100;5;10;2.0;0
9;100;5;180;36.0;3
10;100;5;-105;-21.0;2
11;100;5;-250;-50.0;2
12;100;5;55;11.0;0
13;100;5;-210;-42.0;0
14;100;5;-70;-14.0;1
15;100;5;-300;-60.0;3
16;100;5;-90;-18.0;0
17;100;5;-225;-45.0;4
18;100;5;15;3.0;1
19;100;5;235;47.0;1
20;100;5;-160;-32.0;2
21;100;5;15;3.0;0
22;100;5;-35;-7.0;4
23;100;5;-20;-4.0;3
24;100;5;30;6.0;4
25;100;5;-15;-3.0;1
26;100;5;-220;-44.0;0
27;100;5;-150;-30.0;1
28;100;5;255;51.0;0
29;100;5;80;16.0;1
30;100;5;115;23.0;1
31;100;5;-195;-39.0;2
32;100;5;-120;-24.0;0
33;100;5;-110;-22.0;1
34;100;5;-190;-38.0;4
35;100;5;-35;-7.0;1
36;100;5;95;19.0;1
37;100;5;-115;-23.0;0
38;100;5;-155;-31.0;0
39;100;5;-80;-16.0;4
40;100;5;-15;-3.0;0
41;100;5;-100;-20.0;1
42;100;5;15;3.0;3
43;100;5;-75;-15.0;1
44;100;5;95;19.0;0
45;100;5;-25;-5.0;0
46;100;5;-245;-49.0;1
47;100;5;-55;-11.0;3
48;100;5;-55;-11.0;2
49;100;5;135;27.0;0
50;100;5;-60;-12.0;0
51;100;5;130;26.0;4
52;100;5;-55;-11.0;1
53;100;5;130;26.0;2
54;100;5;75;15.0;1
55;100;5;-50;-10.0;0
56;100;5;-220;-44.0;4
57;100;5;-105;-21.0;2
58;100;5;-35;-7.0;3
59;100;5;-195;-39.0;5
60;100;5;50;10.0;1
61;100;5;160;32.0;1
62;100;5;-95;-19.0;1
63;100;5;-75;-15.0;1
64;100;5;85;17.0;4
65;100;5;30;6.0;1
66;100;5;-25;-5.0;1
67;100;5;175;35.0;5
68;100;5;-235;-47.0;1
69;100;5;185;37.0;1
70;100;5;-40;-8.0;5
71;100;5;0;0.0;1
72;100;5;-130;-26.0;5
73;100;5;-95;-19.0;2
74;100;5;-170;-34.0;2
75;100;5;-225;-45.0;1
76;100;5;20;4.0;4
77;100;5;-30;-6.0;0
78;100;5;5;1.0;5
79;100;5;45;9.0;2
80;100;5;40;8.0;4
81;100;5;40;8.0;1
82;100;5;-25;-5.0;2
83;100;5;-70;-14.0;1
84;100;5;-160;-32.0;3
85;100;5;-15;-3.0;3
86;100;5;-45;-9.0;0
87;100;5;-175;-35.0;3
88;100;5;40;8.0;1
89;100;5;10;2.0;0
90;100;5;-155;-31.0;0
91;100;5;-165;-33.0;1
92;100;5;-20;-4.0;3
93;100;5;145;29.0;1
94;100;5;-355;-71.0;2
95;100;5;45;9.0;1
96;100;5;-300;-60.0;3
97;100;5;-105;-21.0;2
98;100;5;-240;-48.0;1
99;100;5;-45;-9.0;3
100;100;5;-110;-22.0;1
101;100;5;-60;-12.0;0
102;100;5;-90;-18.0;1
103;100;5;-10;-2.0;1
104;100;5;180;36.0;3
105;100;5;160;32.0;1
106;100;5;40;8.0;1
107;100;5;-280;-56.0;4
108;100;5;60;12.0;1
109;100;5;20;4.0;0
110;100;5;20;4.0;2
111;100;5;-100;-20.0;2
112;100;5;0;0.0;3
113;100;5;220;44.0;1
114;100;5;115;23.0;1
115;100;5;-55;-11.0;1
116;100;5;140;28.0;1
117;100;5;40;8.0;0
118;100;5;15;3.0;2
119;100;5;50;10.0;6
120;100;5;-90;-18.0;0
121;100;5;75;15.0;2
122;100;5;-215;-43.0;5
123;100;5;40;8.0;2
124;100;5;165;33.0;2
125;100;5;-30;-6.0;2
126;100;5;75;15.0;3
127;100;5;15;3.0;5
128;100;5;-90;-18.0;0
129;100;5;-175;-35.0;1
130;100;5;-25;-5.0;2
131;100;5;95;19.0;1
132;100;5;20;4.0;1
133;100;5;-30;-6.0;2
134;100;5;95;19.0;2
135;100;5;-120;-24.0;2
136;100;5;50;10.0;1
137;100;5;-130;-26.0;4
138;100;5;-75;-15.0;2
139;100;5;-125;-25.0;3
140;100;5;-120;-24.0;2
141;100;5;-65;-13.0;1
142;100;5;55;11.0;2
143;100;5;-35;-7.0;3
144;100;5;145;29.0;1
145;100;5;-160;-32.0;1
146;100;5;155;31.0;1
147;100;5;-30;-6.0;2
148;100;5;-30;-6.0;4
149;100;5;-120;-24.0;0
150;100;5;-130;-26.0;1
151;100;5;-5;-1.0;2
152;100;5;35;7.0;1
153;100;5;-125;-25.0;2
154;100;5;85;17.0;1
155;100;5;-35;-7.0;1
156;100;5;-315;-63.0;1
157;100;5;-30;-6.0;0
158;100;5;10;2.0;0
159;100;5;-100;-20.0;1
160;100;5;-115;-23.0;0
161;100;5;-65;-13.0;0
162;100;5;-20;-4.0;0
163;100;5;0;0.0;3
164;100;5;65;13.0;0
165;100;5;115;23.0;3
166;100;5;55;11.0;2
167;100;5;-245;-49.0;1
168;100;5;50;10.0;1
169;100;5;-110;-22.0;3
170;100;5;-50;-10.0;1
171;100;5;100;20.0;0
172;100;5;35;7.0;2
173;100;5;35;7.0;2
174;100;5;170;34.0;1
175;100;5;-70;-14.0;3
176;100;5;40;8.0;1
177;100;5;55;11.0;1
178;100;5;80;16.0;2
179;100;5;85;17.0;3
180;100;5;-60;-12.0;1
181;100;5;-115;-23.0;2
182;100;5;180;36.0;3
183;100;5;55;11.0;2
184;100;5;0;0.0;0
185;100;5;-180;-36.0;5
186;100;5;-20;-4.0;0
187;100;5;-105;-21.0;2
188;100;5;180;36.0;0
189;100;5;-20;-4.0;2
190;100;5;150;30.0;2
191;100;5;-40;-8.0;3
192;100;5;-110;-22.0;2
193;100;5;140;28.0;3
194;100;5;-70;-14.0;3
195;100;5;-160;-32.0;2
196;100;5;70;14.0;1
197;100;5;140;28.0;1
198;100;5;-100;-20.0;2
199;100;5;-75;-15.0;2
200;100;5;-35;-7.0;1
201;100;5;-120;-24.0;3
202;100;5;-45;-9.0;1
203;100;5;75;15.0;3
204;100;5;-105;-21.0;1
205;100;5;-10;-2.0;2
206;100;5;140;28.0;5
207;100;5;110;22.0;4
208;100;5;-190;-38.0;0
209;100;5;135;27.0;2
210;100;5;-250;-50.0;1
211;100;5;-150;-30.0;3
212;100;5;-20;-4.0;1
213;100;5;105;21.0;2
214;100;5;-175;-35.0;2
215;100;5;-55;-11.0;1
216;100;5;-135;-27.0;4
217;100;5;-100;-20.0;2
218;100;5;-105;-21.0;3
219;100;5;255;51.0;2
220;100;5;-335;-67.0;1
221;100;5;175;35.0;2
222;100;5;-150;-30.0;3
223;100;5;220;44.0;1
224;100;5;-130;-26.0;0
225;100;5;85;17.0;1
226;100;5;-40;-8.0;2
227;100;5;80;16.0;0
228;100;5;-160;-32.0;3
229;100;5;30;6.0;3
230;100;5;150;30.0;1
231;100;5;20;4.0;1
232;100;5;60;12.0;2
233;100;5;0;0.0;0
234;100;5;-95;-19.0;1
235;100;5;165;33.0;2
236;100;5;60;12.0;2
237;100;5;100;20.0;1
238;100;5;210;42.0;0
239;100;5;-45;-9.0;3
240;100;5;25;5.0;1
241;100;5;-125;-25.0;4
242;100;5;45;9.0;0
243;100;5;-160;-32.0;3
244;100;5;60;12.0;2
245;100;5;-225;-45.0;0
246;100;5;-65;-13.0;2
247;100;5;-70;-14.0;1
248;100;5;80;16.0;0
249;100;5;-125;-25.0;0
250;100;5;-85;-17.0;7
251;100;5;5;1.0;1
252;100;5;90;18.0;5
253;100;5;125;25.0;3
254;100;5;90;18.0;2
255;100;5;115;23.0;3
256;100;5;-120;-24.0;1
257;100;5;30;6.0;0
258;100;5;0;0.0;2
259;100;5;-30;-6.0;2
260;100;5;-100;-20.0;2
261;100;5;-175;-35.0;3
262;100;5;125;25.0;2
263;100;5;-10;-2.0;1
264;100;5;-5;-1.0;1
265;100;5;20;4.0;1
266;100;5;150;30.0;3
267;100;5;-85;-17.0;1
268;100;5;-95;-19.0;1
269;100;5;40;8.0;1
270;100;5;-200;-40.0;1
271;100;5;170;34.0;2
272;100;5;55;11.0;3
273;100;5;5;1.0;2
274;100;5;195;39.0;2
275;100;5;80;16.0;1
276;100;5;-200;-40.0;1
277;100;5;90;18.0;4
278;100;5;105;21.0;1
279;100;5;-135;-27.0;1
280;100;5;125;25.0;3
281;100;5;130;26.0;1
282;100;5;-230;-46.0;0
283;100;5;-135;-27.0;2
284;100;5;25;5.0;1
285;100;5;-35;-7.0;3
286;100;5;130;26.0;3
287;100;5;-100;-20.0;3
288;100;5;-80;-16.0;2
289;100;5;150;30.0;1
290;100;5;185;37.0;0
291;100;5;65;13.0;0
292;100;5;125;25.0;1
293;100;5;-260;-52.0;1
294;100;5;-50;-10.0;2
295;100;5;140;28.0;0
296;100;5;80;16.0;0
297;100;5;10;2.0;1
298;100;5;150;30.0;1
299;100;5;-245;-49.0;2
300;100;5;95;19.0;1
301;100;5;165;33.0;2
302;100;5;-170;-34.0;2
303;100;5;-15;-3.0;1
304;100;5;85;17.0;3
305;100;5;-45;-9.0;1
306;100;5;-100;-20.0;2
307;100;5;25;5.0;2
308;100;5;-45;-9.0;2
309;100;5;-85;-17.0;2
310;100;5;-160;-32.0;2
311;100;5;20;4.0;2
312;100;5;-70;-14.0;2
313;100;5;-320;-64.0;1
314;100;5;-265;-53.0;0
315;100;5;-15;-3.0;1
316;100;5;-225;-45.0;0
317;100;5;200;40.0;3
318;100;5;175;35.0;2
319;100;5;-240;-48.0;3
320;100;5;-115;-23.0;1
321;100;5;125;25.0;3
322;100;5;-30;-6.0;5
323;100;5;20;4.0;3
324;100;5;-80;-16.0;1
325;100;5;-195;-39.0;0
326;100;5;-100;-20.0;3
327;100;5;-70;-14.0;1
328;100;5;-40;-8.0;0
329;100;5;40;8.0;0
330;100;5;-30;-6.0;2
331;100;5;185;37.0;0
332;100;5;-80;-16.0;2
333;100;5;-220;-44.0;1
334;100;5;40;8.0;1
335;100;5;-30;-6.0;3
336;100;5;325;65.0;2
337;100;5;20;4.0;0
338;100;5;190;38.0;1
339;100;5;75;15.0;2
340;100;5;40;8.0;3
341;100;5;175;35.0;3
342;100;5;-130;-26.0;0
343;100;5;20;4.0;1
344;100;5;-10;-2.0;0
345;100;5;105;21.0;1
346;100;5;85;17.0;4
347;100;5;45;9.0;3
348;100;5;-70;-14.0;2
349;100;5;-75;-15.0;3
350;100;5;75;15.0;0
351;100;5;50;10.0;1
352;100;5;90;18.0;2
353;100;5;125;25.0;1
354;100;5;-205;-41.0;0
355;100;5;-10;-2.0;5
356;100;5;115;23.0;0
357;100;5;80;16.0;3
358;100;5;220;44.0;2
359;100;5;15;3.0;3
360;100;5;25;5.0;2
361;100;5;-70;-14.0;1
362;100;5;205;41.0;1
363;100;5;-195;-39.0;4
364;100;5;-85;-17.0;0
365;100;5;-70;-14.0;1
366;100;5;-190;-38.0;2
367;100;5;-195;-39.0;3
368;100;5;100;20.0;3
369;100;5;225;45.0;2
370;100;5;-140;-28.0;1
371;100;5;-145;-29.0;1
372;100;5;-120;-24.0;3
373;100;5;-30;-6.0;2
374;100;5;-180;-36.0;2
375;100;5;30;6.0;1
376;100;5;75;15.0;1
377;100;5;195;39.0;1
378;100;5;125;25.0;1
379;100;5;5;1.0;3
380;100;5;30;6.0;4
381;100;5;-45;-9.0;3
382;100;5;-50;-10.0;2
383;100;5;-135;-27.0;1
384;100;5;-265;-53.0;0
385;100;5;25;5.0;3
386;100;5;95;19.0;1
387;100;5;30;6.0;5
388;100;5;255;51.0;2
389;100;5;30;6.0;2
390;100;5;-120;-24.0;1
391;100;5;-50;-10.0;1
392;100;5;-10;-2.0;1
393;100;5;-185;-37.0;2
394;100;5;-50;-10.0;2
395;100;5;90;18.0;2
396;100;5;55;11.0;3
397;100;5;-110;-22.0;4
398;100;5;70;14.0;1
399;100;5;-65;-13.0;3
400;100;5;-65;-13.0;0
401;100;5;-195;-39.0;1
402;100;5;20;4.0;0
403;100;5;20;4.0;1
404;100;5;15;3.0;3
405;100;5;-115;-23.0;3
406;100;5;40;8.0;2
407;100;5;-230;-46.0;4
408;100;5;20;4.0;4
409;100;5;125;25.0;0
410;100;5;-90;-18.0;3
411;100;5;-100;-20.0;4
412;100;5;-135;-27.0;2
